Dato,Elpris,Afgifter,Total
31-05-2023 23:00,0.58,0.43,1.01
31-05-2023 22:00,0.58,0.43,1.01
31-05-2023 21:00,0.6,0.43,1.03
31-05-2023 20:00,0.68,0.89,1.57
31-05-2023 19:00,0.6,0.89,1.49
31-05-2023 18:00,0.59,0.89,1.48
31-05-2023 17:00,0.53,0.89,1.42
31-05-2023 16:00,0.23,0.43,0.66
31-05-2023 15:00,0.05,0.43,0.48
31-05-2023 14:00,0.04,0.43,0.47
31-05-2023 13:00,0.05,0.43,0.48
31-05-2023 12:00,0.06,0.43,0.49
31-05-2023 11:00,0.47,0.43,0.9
31-05-2023 10:00,0.56,0.43,0.99
31-05-2023 09:00,0.66,0.43,1.09
31-05-2023 08:00,0.75,0.43,1.18
31-05-2023 07:00,0.86,0.43,1.29
31-05-2023 06:00,1,0.43,1.43
31-05-2023 05:00,0.88,0.34,1.22
31-05-2023 04:00,0.82,0.34,1.16
31-05-2023 03:00,0.78,0.34,1.12
31-05-2023 02:00,0.72,0.34,1.06
31-05-2023 01:00,0.81,0.34,1.15
31-05-2023 00:00,0.85,0.34,1.19
30-05-2023 23:00,0.88,0.43,1.31
30-05-2023 22:00,0.96,0.43,1.39
30-05-2023 21:00,1.22,0.43,1.65
30-05-2023 20:00,1.49,0.89,2.38
30-05-2023 19:00,1.21,0.89,2.1
30-05-2023 18:00,0.96,0.89,1.85
30-05-2023 17:00,0.86,0.89,1.75
30-05-2023 16:00,0.7,0.43,1.13
30-05-2023 15:00,0.63,0.43,1.06
30-05-2023 14:00,0.58,0.43,1.01
30-05-2023 13:00,0.58,0.43,1.01
30-05-2023 12:00,0.65,0.43,1.08
30-05-2023 11:00,0.7,0.43,1.13
30-05-2023 10:00,0.82,0.43,1.25
30-05-2023 09:00,0.89,0.43,1.32
30-05-2023 08:00,1.06,0.43,1.49
30-05-2023 07:00,1.15,0.43,1.58
30-05-2023 06:00,0.96,0.43,1.39
30-05-2023 05:00,0.84,0.34,1.18
30-05-2023 04:00,0.76,0.34,1.1
30-05-2023 03:00,0.69,0.34,1.03
30-05-2023 02:00,0.69,0.34,1.03
30-05-2023 01:00,0.71,0.34,1.05
30-05-2023 00:00,0.75,0.34,1.09
29-05-2023 23:00,0.73,0.43,1.16
29-05-2023 22:00,0.78,0.43,1.21
29-05-2023 21:00,0.83,0.43,1.26
29-05-2023 20:00,0.81,0.89,1.7
29-05-2023 19:00,0.71,0.89,1.6
29-05-2023 18:00,0.23,0.89,1.12
29-05-2023 17:00,0.07,0.89,0.96
29-05-2023 16:00,0.06,0.43,0.49
29-05-2023 15:00,0.07,0.43,0.5
29-05-2023 14:00,0.07,0.43,0.5
29-05-2023 13:00,0.07,0.43,0.5
29-05-2023 12:00,0.07,0.43,0.5
29-05-2023 11:00,0.07,0.43,0.5
29-05-2023 10:00,0.08,0.43,0.51
29-05-2023 09:00,0.09,0.43,0.52
29-05-2023 08:00,0.33,0.43,0.76
29-05-2023 07:00,0.6,0.43,1.03
29-05-2023 06:00,0.67,0.43,1.1
29-05-2023 05:00,0.63,0.34,0.97
29-05-2023 04:00,0.55,0.34,0.89
29-05-2023 03:00,0.5,0.34,0.84
29-05-2023 02:00,0.53,0.34,0.87
29-05-2023 01:00,0.55,0.34,0.89
29-05-2023 00:00,0.6,0.34,0.94
28-05-2023 23:00,0.7,0.43,1.13
28-05-2023 22:00,0.74,0.43,1.17
28-05-2023 21:00,0.77,0.43,1.2
28-05-2023 20:00,0.79,0.89,1.68
28-05-2023 19:00,0.63,0.89,1.52
28-05-2023 18:00,0.52,0.89,1.41
28-05-2023 17:00,0.05,0.89,0.94
28-05-2023 16:00,0,0.43,0.43
28-05-2023 15:00,0,0.43,0.43
28-05-2023 14:00,-0.04,0.43,0.39
28-05-2023 13:00,-0.04,0.43,0.39
28-05-2023 12:00,-0.04,0.43,0.39
28-05-2023 11:00,-0.04,0.43,0.39
28-05-2023 10:00,0.02,0.43,0.45
28-05-2023 09:00,0.05,0.43,0.48
28-05-2023 08:00,0.4,0.43,0.83
28-05-2023 07:00,0.65,0.43,1.08
28-05-2023 06:00,0.72,0.43,1.15
28-05-2023 05:00,0.76,0.34,1.1
28-05-2023 04:00,0.77,0.34,1.11
28-05-2023 03:00,0.78,0.34,1.12
28-05-2023 02:00,0.81,0.34,1.15
28-05-2023 01:00,0.83,0.34,1.17
28-05-2023 00:00,0.86,0.34,1.2
27-05-2023 23:00,0.93,0.43,1.36
27-05-2023 22:00,0.98,0.43,1.41
27-05-2023 21:00,1.1,0.43,1.53
27-05-2023 20:00,1.21,0.89,2.1
27-05-2023 19:00,0.98,0.89,1.87
27-05-2023 18:00,0.84,0.89,1.73
27-05-2023 17:00,0.56,0.89,1.45
27-05-2023 16:00,0.07,0.43,0.5
27-05-2023 15:00,0.05,0.43,0.48
27-05-2023 14:00,0.03,0.43,0.46
27-05-2023 13:00,0.03,0.43,0.46
27-05-2023 12:00,0.05,0.43,0.48
27-05-2023 11:00,0.06,0.43,0.49
