DateTime,Middel vindhastighed,Højeste 10 min. middel,Højeste vindstød
19-05-2023 00:00,2.1,2.6,4.6
19-05-2023 01:00,1.7,2.1,3.1
19-05-2023 02:00,0.8,1.5,2
19-05-2023 03:00,0.8,1.4,2.2
19-05-2023 04:00,1.2,1.8,2.6
19-05-2023 05:00,0.8,1.8,2.2
19-05-2023 06:00,0.7,1.5,1.9
19-05-2023 07:00,0.9,1.6,1.9
19-05-2023 08:00,1.3,2.1,3.1
19-05-2023 09:00,1.9,2.4,3.5
19-05-2023 10:00,1.5,2.4,4.3
19-05-2023 11:00,2,3.1,5.7
19-05-2023 12:00,2.7,3.9,6.7
19-05-2023 13:00,3,4,7.2
19-05-2023 14:00,3.4,4.4,6.8
19-05-2023 15:00,3.9,4.8,7.7
19-05-2023 16:00,4.4,6.7,9.3
19-05-2023 17:00,5,6.2,9.8
19-05-2023 18:00,4.2,5.7,8.8
19-05-2023 19:00,4.1,5.1,7.2
19-05-2023 20:00,3.7,4.6,6.2
19-05-2023 21:00,2.9,3.7,5.2
19-05-2023 22:00,2.1,3,3.8
19-05-2023 23:00,1.8,2.4,3.2
20-05-2023 00:00,1.4,2.4,2.9
20-05-2023 01:00,1.4,2.3,3.1
20-05-2023 02:00,1,1.8,2.3
20-05-2023 03:00,1.7,2.4,2.8
20-05-2023 04:00,1.3,1.8,2.4
20-05-2023 05:00,1.1,1.9,2.5
20-05-2023 06:00,0.9,2,3.1
20-05-2023 07:00,1,2.1,3.2
20-05-2023 08:00,1.2,2.4,4
20-05-2023 09:00,2.4,3.4,4.9
20-05-2023 10:00,4,4.8,7.2
20-05-2023 11:00,4,4.8,7.8
20-05-2023 12:00,3.9,5.1,8.3
20-05-2023 13:00,5.2,6.7,10.3
20-05-2023 14:00,5.3,6.2,10.3
20-05-2023 15:00,4.9,5.7,9.8
20-05-2023 16:00,4.7,5.5,8.8
20-05-2023 17:00,5.1,6.2,9.3
20-05-2023 18:00,4.6,5.2,8.1
20-05-2023 19:00,5.1,6.2,8.2
20-05-2023 20:00,4.4,5.7,8.2
20-05-2023 21:00,3.5,4.3,6.3
20-05-2023 22:00,2.9,3.6,5.7
20-05-2023 23:00,2.7,3.1,4.6
21-05-2023 00:00,2.6,3.1,4.6
21-05-2023 01:00,2.4,3.1,4.1
21-05-2023 02:00,2.4,3.1,3.6
21-05-2023 03:00,2,2.4,3.4
21-05-2023 04:00,2.7,3.6,5.1
21-05-2023 05:00,3,3.6,5.2
21-05-2023 06:00,2.7,3.5,5.3
21-05-2023 07:00,3.8,5.1,8.2
21-05-2023 08:00,4.4,5.7,8.2
21-05-2023 09:00,4.1,5.2,7.4
21-05-2023 10:00,4.7,6.2,9.3
21-05-2023 11:00,5.2,6.7,9.8
21-05-2023 12:00,5.8,7.2,9.8
21-05-2023 13:00,5.6,7.2,10.8
21-05-2023 14:00,6.6,8.2,11.3
21-05-2023 15:00,6.4,7.7,12.4
21-05-2023 16:00,6.5,7.2,10.3
21-05-2023 17:00,6,6.9,10.6
21-05-2023 18:00,5.7,6.6,9.7
21-05-2023 19:00,5.7,6.7,10.3
21-05-2023 20:00,5.2,6.2,8.8
21-05-2023 21:00,4.5,5.3,8.3
21-05-2023 22:00,4.3,5.6,7.7
21-05-2023 23:00,3.9,5.4,8
22-05-2023 00:00,4.6,5.7,7.7
22-05-2023 01:00,3.9,5.1,7.2
22-05-2023 02:00,3.8,4.6,5.9
22-05-2023 03:00,3.5,4.3,5.6
22-05-2023 04:00,4,4.6,6.2
22-05-2023 05:00,4.1,5.1,6.7
22-05-2023 06:00,4.7,6.2,8.2
22-05-2023 07:00,4.8,5.7,8.2
22-05-2023 08:00,4.8,6.2,8.2
